Python,20.86816
unthreaded float -lm -lrt -Og,0.73681,3.12284e-15,
1 threads float -lm -lrt -Og,0.78364,3.12284e-15,
2 threads float -lm -lrt -Og,0.73859,3.12284e-15,
4 threads float -lm -lrt -Og,1.77629,3.12284e-15,
8 threads float -lm -lrt -Og,0.74899,3.12284e-15,
16 threads float -lm -lrt -Og,0.74979,3.12284e-15,
32 threads float -lm -lrt -Og,0.73988,3.12284e-15,
unthreaded __fp16 -lm -lrt -Og,0.75135,3.12284e-15,
1 threads __fp16 -lm -lrt -Og,0.70220,3.12284e-15,
2 threads __fp16 -lm -lrt -Og,0.70225,3.12284e-15,
4 threads __fp16 -lm -lrt -Og,0.75743,3.12284e-15,
8 threads __fp16 -lm -lrt -Og,0.75104,3.12284e-15,
16 threads __fp16 -lm -lrt -Og,0.75722,3.12284e-15,
32 threads __fp16 -lm -lrt -Og,0.75244,3.12284e-15,
unthreaded double -lm -lrt -Og -funroll-loops,1.26864,2.08545e-15,
1 threads double -lm -lrt -Og -funroll-loops,1.21964,2.08545e-15,
2 threads double -lm -lrt -Og -funroll-loops,1.41810,2.08545e-15,
4 threads double -lm -lrt -Og -funroll-loops,1.29745,2.08545e-15,
8 threads double -lm -lrt -Og -funroll-loops,1.72987,2.08545e-15,
16 threads double -lm -lrt -Og -funroll-loops,1.33141,2.08545e-15,
32 threads double -lm -lrt -Og -funroll-loops,1.32852,2.08545e-15,
unthreaded float -lm -lrt -Og -funroll-loops,0.74571,3.12284e-15,
1 threads float -lm -lrt -Og -funroll-loops,0.74333,3.12284e-15,
2 threads float -lm -lrt -Og -funroll-loops,0.74140,3.12284e-15,
4 threads float -lm -lrt -Og -funroll-loops,0.76982,3.12284e-15,
8 threads float -lm -lrt -Og -funroll-loops,0.78091,3.12284e-15,
16 threads float -lm -lrt -Og -funroll-loops,0.75060,3.12284e-15,
32 threads float -lm -lrt -Og -funroll-loops,0.75262,3.12284e-15,
unthreaded __fp16 -lm -lrt -Og -funroll-loops,0.72164,3.12284e-15,
1 threads __fp16 -lm -lrt -Og -funroll-loops,0.73608,3.12284e-15,
2 threads __fp16 -lm -lrt -Og -funroll-loops,0.78330,3.12284e-15,
4 threads __fp16 -lm -lrt -Og -funroll-loops,0.77039,3.12284e-15,
8 threads __fp16 -lm -lrt -Og -funroll-loops,0.76926,3.12284e-15,
16 threads __fp16 -lm -lrt -Og -funroll-loops,0.76132,3.12284e-15,
32 threads __fp16 -lm -lrt -Og -funroll-loops,0.77617,3.12284e-15,
